ACTIVATION_DATE,SUBSCRIPTION_ID,REVENUE,GENDER,PROVINCE,Language,BUNDLE_NAME
9/30/2023,19942400,999,Male,KABUL,Dari,Monthly 20GB for 999AFN
9/24/2023,413420637,999,Male,GHOR,Pashto,Monthly 20GB for 999AFN
9/30/2023,447529411,999,Male,BALKH,Dari,Monthly 20GB for 999AFN
9/27/2023,515256392,999,Male,KABUL,Pashto,Monthly 20GB for 999AFN
9/27/2023,609716162,999,Male,KABUL,Dari,Monthly 20GB for 999AFN
9/24/2023,712096945,549,Male,NANGARHAR,Pashto,Monthly 6GB for 499AFN
9/29/2023,113132445,549,Male,BAGHLAN,Dari,Monthly 6GB for 499AFN
9/28/2023,866501191,549,Female,KABUL,Pashto,Monthly 6GB for 499AFN
9/30/2023,,549,Male,KABUL,Dari,Monthly 6GB for 499AFN
9/24/2023,897691801,0,Male,HELMAND,Pashto,Monthly 6GB for 499AFN
9/30/2023,447529411,549,Male,BALKH,Dari,Monthly 6GB for 499AFN
9/29/2023,909324638,549,Male,KABUL,Pashto,Monthly 6GB for 499AFN
9/29/2023,551231134,549,Male,KABUL,Dari,Monthly 6GB for 499AFN
9/30/2023,609716162,549,Male,KABUL,Pashto,Monthly 6GB for 499AFN
9/26/2023,712096945,149,Male,NANGARHAR,Dari,Weekly 1.5GB for 149 AFN Subs
9/29/2023,289227863,149,Male,PARWAN,Pashto,Weekly 1.5GB for 149 AFN Subs
9/25/2023,866501191,149,Male,KABUL,Dari,Weekly 1.5GB for 149 AFN Subs
9/25/2023,515256392,149,Male,KABUL,Pashto,Weekly 1.5GB for 149 AFN Subs
9/28/2023,242243425,149,Male,NANGARHAR,Dari,Weekly 1.5GB for 149 AFN Subs
9/27/2023,551231134,0,Male,KABUL,Pashto,Weekly 1.5GB for 149 AFN Subs
9/25/2023,853537687,149,Female,PAKTIKA,Dari,Weekly 1.5GB for 149 AFN Subs
9/30/2023,865641839,17,Male,KABUL,Pashto,Daily 200MB Data Bundle
9/28/2023,859324255,110,Male,GHOR,Dari,Monthly 1GB 110AFN
9/28/2023,863709269,17,Male,BALKH,Pashto,Daily 200MB Data Bundle
9/29/2023,863709269,17,Male,KABUL,Dari,Daily 200MB Data Bundle
9/29/2023,863709269,17,Male,KABUL,Pashto,Daily 200MB Data Bundle
9/26/2023,854163151,10,Male,NANGARHAR,Dari,Hourly Bundle 400MB
9/26/2023,864362655,10,Male,BAGHLAN,Pashto,Hourly Bundle 400MB
9/27/2023,865670438,55,Male,KABUL,Dari,Weekly 425MB Data Bundle
9/30/2023,865670438,17,Male,KABUL,Pashto,Daily 200MB Data Bundle
9/30/2023,865667395,10,Male,HELMAND,Dari,Hourly Bundle 400MB
9/25/2023,864179847,12,Female,BALKH,Pashto,Hourly Bundle 512MB
9/25/2023,865275350,10,Male,KABUL,Dari,Hourly Bundle 400MB
9/25/2023,865275350,10,Male,KABUL,Pashto,Hourly Bundle 400MB
9/30/2023,859526583,55,Female,KABUL,Dari,Weekly 425MB Data Bundle
9/27/2023,860282202,17,Male,NANGARHAR,Pashto,Daily 200MB Data Bundle
9/25/2023,863636892,10,Female,PARWAN,Dari,Hourly Bundle 400MB
9/30/2023,863428559,10,Male,KABUL,Pashto,Hourly Bundle 400MB
9/30/2023,863423572,17,Male,KABUL,Dari,Daily 200MB Data Bundle
9/25/2023,864353800,10,Male,NANGARHAR,Pashto,Hourly Bundle 400MB
9/28/2023,863569288,11,Male,KABUL,Dari,Hourly Bundle 400MB
9/24/2023,868265581,10,Male,PAKTIKA,Pashto,Hourly Bundle 400MB
9/24/2023,868265581,10,Male,KABUL,Dari,Hourly Bundle 400MB
9/30/2023,868265581,10,Male,GHOR,Pashto,Hourly Bundle 400MB
9/28/2023,854161074,110,Male,BALKH,Dari,Monthly 1GB 110AFN
9/26/2023,860288826,10,Male,KABUL,Pashto,Hourly Bundle 400MB
9/26/2023,865668518,10,Male,KABUL,Dari,Hourly Bundle 400MB
9/25/2023,863372131,55,Male,NANGARHAR,Pashto,Weekly 425MB Data Bundle
9/26/2023,865302227,17,Male,BAGHLAN,Dari,Daily 200MB Data Bundle
9/28/2023,863422819,17,Male,KABUL,Pashto,Daily 200MB Data Bundle
9/25/2023,864472054,17,Female,KABUL,Dari,Daily 200MB Data Bundle
9/28/2023,864326955,10,Male,HELMAND,Pashto,Hourly Bundle 400MB
9/30/2023,866230680,12,Male,BALKH,Dari,Hourly Bundle 512MB
9/29/2023,861320027,50,Male,KABUL,Pashto,Daily 1GB for 50 Afs Subscription
9/27/2023,865444555,17,Male,KABUL,Dari,Daily 200MB Data Bundle
9/27/2023,864721457,10,Male,KABUL,Pashto,Hourly Bundle 400MB
9/28/2023,859458814,17,Male,NANGARHAR,Dari,Daily 200MB Data Bundle
9/26/2023,864339737,10,Male,PARWAN,Pashto,Hourly Bundle 400MB
9/25/2023,864743563,10,Male,KABUL,Dari,Hourly Bundle 400MB
9/29/2023,859352779,17,Male,KABUL,Pashto,Daily 200MB Data Bundle
9/28/2023,859458544,17,Male,NANGARHAR,Dari,Daily 200MB Data Bundle
9/29/2023,864708138,15,Male,KABUL,Pashto,Daily 200MB Data Bundle
