,ACTIVATION_DATE,SUBSCRIPTION_ID,BUNDLE_NAME,REVENUE,PROVINCE,LANGUAGE,Interaction
10007,10/3/2023,3890801233.0,Hourly Bundle 400MB,10.0,NANGARHAR,Pashto,1
40138,10/18/2023,3890771102.0,Hourly Bundle 400MB,10.0,GHAZNI,Dari,1
81626,10/24/2023,3890729614.0,Daily 200MB Data Bundle,15.0,KABUL,Pashto,1
41326,10/27/2023,3890769914.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
67575,10/29/2023,3890743665.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
59671,10/13/2023,3890751569.0,Hourly Bundle 400MB,70.0,KABUL,Dari,1
23235,10/7/2023,3890788005.0,Monthly 20GB for 999AFN,999.0,QANDAHAR,Dari,1
36964,10/11/2023,3890774276.0,Monthly 550 Min,135.0,KABUL,Pashto,1
73292,10/25/2023,3890737948.0,Hourly Bundle 400MB,40.0,NANGARHAR,Pashto,1
64802,10/31/2023,3890746438.0,Daily 200MB Data Bundle,30.0,BALKH,Dari,1
43697,10/5/2023,3890767543.0,Daily 200MB Data Bundle,30.0,PANJSHIR,Dari,1
24061,10/22/2023,3890787179.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
49362,10/12/2023,3890761878.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
4098,10/7/2023,3890807142.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
24002,10/6/2023,3890787238.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
75064,10/8/2023,3890736176.0,Hourly Bundle 400MB,40.0,BAGHLAN,Dari,1
63658,10/17/2023,3890747582.0,Hourly 50 Onnet Min,10.0,KABUL,Pashto,1
83112,10/31/2023,3890728128.0,Hourly Bundle 400MB,10.0,KONDUZ,Pashto,1
28788,10/22/2023,3890782452.0,Hourly Bundle 400MB,10.0,SAMANGAN,Pashto,1
61053,10/12/2023,3890750187.0,Hourly Bundle 400MB,10.0,KABUL,Pashto,1
45573,10/26/2023,3890765667.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
9434,10/29/2023,3890801806.0,Daily 200MB Data Bundle,15.0,BADAKHSHAN,Dari,1
48717,10/4/2023,3890762523.0,Daily 200MB Data Bundle,30.0,KABUL,Dari,1
41832,10/12/2023,3890769408.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
60021,10/13/2023,3890751219.0,Daily 200MB Data Bundle,15.0,HERAT,Dari,1
91333,10/9/2023,3890719907.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
27486,10/19/2023,3890783754.0,Monthly 550 Min,135.0,BALKH,Dari,1
91177,10/2/2023,3890720063.0,Hourly Bundle 400MB,30.0,KABUL,Pashto,1
94834,10/9/2023,3890716406.0,Hourly Bundle 400MB,10.0,BAGHLAN,Dari,1
52291,10/27/2023,3890758949.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
21238,10/8/2023,3890790002.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
76436,10/29/2023,3890734804.0,Daily 200MB Data Bundle,15.0,KABUL,Pashto,1
17445,10/26/2023,3890793795.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
27260,10/6/2023,3890783980.0,Hourly Bundle 400MB,50.0,KABUL,Dari,1
66411,10/16/2023,3890744829.0,Hourly Bundle 400MB,10.0,KABUL,Pashto,1
1428,10/20/2023,3890809812.0,Hourly Bundle 400MB,10.0,NANGARHAR,Pashto,1
81932,10/12/2023,3890729308.0,Hourly Bundle 400MB,10.0,NANGARHAR,Pashto,1
33175,10/19/2023,3890778065.0,Hourly Bundle 400MB,10.0,LOGAR,Pashto,1
19652,10/26/2023,3890791588.0,Hourly 50 Onnet Min,10.0,KONDUZ,Dari,1
76923,10/19/2023,3890734317.0,Daily 200MB Data Bundle,30.0,FARYAB,Dari,1
69181,10/8/2023,3890742059.0,Monthly 1000 Min for 200 Afs Subs,200.0,BAGHLAN,Pashto,1
67836,10/13/2023,3890743404.0,Daily 200MB Data Bundle,15.0,JOZJAN,Dari,1
69154,10/28/2023,3890742086.0,Monthly 550 Min,135.0,KONDUZ,Dari,1
33044,10/17/2023,3890778196.0,Hourly Bundle 400MB,20.0,JOZJAN,Dari,1
13838,10/18/2023,3890797402.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
89748,10/9/2023,3890721492.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
30632,10/25/2023,3890780608.0,Monthly 550 Min,135.0,KABUL,English,1
81158,10/16/2023,3890730082.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
3248,10/13/2023,3890807992.0,Hourly Bundle 400MB,20.0,PAKTIA,Pashto,1
20501,10/3/2023,3890790739.0,Monthly 550 Min,135.0,NANGARHAR,Dari,1
88377,10/17/2023,3890722863.0,Hourly Bundle 400MB,10.0,GHOR,Dari,1
69165,10/14/2023,3890742075.0,Hourly Bundle 400MB,10.0,KABUL,Pashto,1
4129,10/30/2023,3890807111.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
31494,10/29/2023,3890779746.0,Hourly Bundle 400MB,20.0,KABUL,Dari,1
18580,10/30/2023,3890792660.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
35400,10/27/2023,3890775840.0,Daily 200MB Data Bundle,30.0,NANGARHAR,Pashto,1
2509,10/27/2023,3890808731.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
26867,10/25/2023,3890784373.0,Daily 200MB Data Bundle,15.0,KONDUZ,Dari,1
15026,10/1/2023,3890796214.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
45096,10/23/2023,3890766144.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
34034,10/29/2023,3890777206.0,Monthly 2.5GB Special Offer,250.0,KABUL,English,1
9488,10/11/2023,3890801752.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
87445,10/18/2023,3890723795.0,Hourly Bundle 400MB,10.0,KABUL,Pashto,1
39744,10/25/2023,3890771496.0,Monthly 550 Min,135.0,KABUL,Dari,1
54167,10/5/2023,3890757073.0,Daily 200MB Data Bundle,15.0,WARDAK,Pashto,1
69326,10/4/2023,3890741914.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
50390,10/3/2023,3890760850.0,Hourly Bundle 400MB,10.0,KABUL,Dari,1
86174,10/28/2023,3890725066.0,Hourly Bundle 400MB,20.0,KONDUZ,Dari,1
55106,10/31/2023,3890756134.0,Daily 200MB Data Bundle,30.0,KABUL,English,1
76194,10/3/2023,3890735046.0,Daily 200MB Data Bundle,15.0,KABUL,Dari,1
94181,10/12/2023,3890717059.0,Monthly 20GB for 999AFN,999.0,KABUL,Dari,1
70522,10/17/2023,3890740718.0,Hourly Bundle 400MB,20.0,BALKH,Dari,1
49124,10/27/2023,3890762116.0,Hourly Bundle 400MB,30.0,FARAH,Pashto,1
14911,10/4/2023,3890796329.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
61086,10/6/2023,3890750154.0,Hourly Bundle 400MB,20.0,NANGARHAR,Pashto,1
75729,10/3/2023,3890735511.0,Monthly 20GB for 999AFN,999.0,HERAT,Dari,1
16271,10/14/2023,3890794969.0,Hourly Bundle 400MB,10.0,HERAT,Dari,1
39600,10/3/2023,3890771640.0,Daily 200MB Data Bundle,15.0,NANGARHAR,Pashto,1
