ACTIVATION_DATE,SUBSCRIPTION_ID,REVENUE,GENDER,PROVINCE,Language,BUNDLE_NAME
9/24/2023,291246295.0,10,Male,KABUL,Pashto,Hourly Bundle 400MB
9/24/2023,942048622.0,17,Male,HELMAND,Pashto,Daily 200MB Data Bundle
9/30/2023,937823890.0,17,Male,NANGARHAR,Pashto,Daily 200MB Data Bundle
9/29/2023,859284262.0,10,Male,KABUL,Dari,Hourly Bundle 400MB
9/29/2023,937660014.0,17,Male,NANGARHAR,English,Daily 200MB Data Bundle
9/29/2023,927633722.0,17,Female,HELMAND,English,Daily 200MB Data Bundle
9/25/2023,934435377.0,11,Male,NANGARHAR,Pashto,Hourly Bundle 400MB
9/26/2023,911135842.0,10,Male,Parwan,Dari,Hourly Bundle 400MB
9/24/2023,619256236.0,11,Male,Parwan,Dari,Hourly Bundle 400MB
9/30/2023,778446198.0,50,Female,KABUL,Dari,Daily 1GB for 50 Afs Subscription
9/24/2023,929600562.0,11,Male,Herat,Pashto,Hourly Bundle 400MB
9/26/2023,22062293.0,10,Male,Parwan,Dari,Hourly Bundle 400MB
9/29/2023,869028095.0,10,Male,KABUL,English,Hourly Bundle 400MB
9/24/2023,928688955.0,10,Male,BAGHLAN,Dari,Hourly Bundle 400MB
9/29/2023,860448261.0,15,Male,Herat,Pashto,Daily 200MB Data Bundle
9/26/2023,889262664.0,12,Male,Herat,English,Hourly Bundle 512MB
9/26/2023,549604105.0,10,Male,KABUL,Dari,Hourly Bundle 400MB
9/24/2023,915375303.0,10,Male,BAGHLAN,Dari,Hourly Bundle 400MB
9/29/2023,778572867.0,10,Male,KABUL,Dari,Hourly Bundle 400MB
9/27/2023,925303959.0,55,Female,BAGHLAN,Pashto,Weekly 425MB Data Bundle
9/29/2023,849610661.0,15,Male,BAGHLAN,Dari,Daily 200MB Data Bundle
9/25/2023,859084669.0,17,Male,Herat,Pashto,Daily 200MB Data Bundle
9/27/2023,934365640.0,17,Female,KABUL,Dari,Daily 200MB Data Bundle
9/29/2023,227268147.0,50,Male,HELMAND,Pashto,Daily 1GB for 50 Afs Subscription
9/24/2023,925353118.0,110,Female,BAGHLAN,Dari,Monthly 1GB 110AFN
9/27/2023,862370243.0,10,Male,HELMAND,English,Hourly Bundle 400MB
9/28/2023,822959593.0,10,Male,BAGHLAN,Dari,Hourly Bundle 400MB
9/25/2023,928701572.0,50,Male,Herat,Pashto,Daily 1GB for 50 Afs Subscription
9/30/2023,869685644.0,11,Male,KABUL,Dari,Hourly Bundle 400MB
9/27/2023,866527185.0,15,Male,BAGHLAN,Dari,Daily 200MB Data Bundle
9/26/2023,736560086.0,50,Male,Parwan,Dari,Daily 1GB for 50 Afs Subscription
9/26/2023,801029518.0,10,Female,HELMAND,English,Hourly Bundle 400MB
9/25/2023,859100127.0,50,Male,KABUL,Pashto,Daily 1GB for 50 Afs Subscription
9/24/2023,934199636.0,10,Male,KABUL,Dari,Hourly Bundle 400MB
9/25/2023,865275350.0,10,Male,KABUL,Dari,Hourly Bundle 400MB
9/27/2023,763777664.0,15,Male,BAGHLAN,Dari,Daily 200MB Data Bundle
9/26/2023,936517101.0,55,Male,BAGHLAN,Dari,Weekly 425MB Data Bundle
9/28/2023,690508095.0,55,Male,Parwan,Dari,Weekly 425MB Data Bundle
9/28/2023,676360195.0,50,Male,HELMAND,Pashto,Daily 1GB for 50 Afs Subscription
9/27/2023,937759503.0,55,Female,HELMAND,English,Weekly 425MB Data Bundle
